摔跤吧！爸爸,喜剧/动作/家庭,2017-05-05中国大陆上映
火力全开,音乐/纪录片,2017-10-20中国大陆上映
厉害了，我的国,纪录片,2018-03-02中国大陆上映
大话西游之月光宝盒,喜剧/爱情/奇幻/古装,2020-07-24中国大陆重映
寻梦环游记,动画/冒险/家庭,2017-11-24中国大陆上映
我不是药神,剧情/喜剧,2018-07-05中国大陆上映
哪吒之魔童降世,动画/喜剧/奇幻,2019-07-26中国大陆上映
速度与激情7,动作/惊悚/犯罪,2015-04-12中国大陆上映
战狼2,动作/战争,2017-07-27中国大陆上映
我和我的祖国,剧情,2019-09-30中国大陆上映
摔跤吧！爸爸,喜剧/动作/家庭,2017-05-05中国大陆上映
火力全开,音乐/纪录片,2017-10-20中国大陆上映
厉害了，我的国,纪录片,2018-03-02中国大陆上映
大话西游之月光宝盒,喜剧/爱情/奇幻/古装,2020-07-24中国大陆重映
寻梦环游记,动画/冒险/家庭,2017-11-24中国大陆上映
我不是药神,剧情/喜剧,2018-07-05中国大陆上映
哪吒之魔童降世,动画/喜剧/奇幻,2019-07-26中国大陆上映
速度与激情7,动作/惊悚/犯罪,2015-04-12中国大陆上映
战狼2,动作/战争,2017-07-27中国大陆上映
我和我的祖国,剧情,2019-09-30中国大陆上映
